Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-02-07/22:45:00	2016-02-07/22:55:00	155.652	1.453	2.188	-4.85
2016-02-07/23:50:00	2016-02-08/00:00:00	159.041	1.308	2.528	-6.475
2016-02-08/00:45:00	2016-02-08/00:55:00	165.978	1.36	1.667	-6.542
2016-02-08/01:15:00	2016-02-08/01:25:00	164.932	1.968	2.03	-7.447
2016-02-08/02:05:00	2016-02-08/02:15:00	164.613	1.053	1.855	-6.737
2016-02-08/14:10:00	2016-02-08/14:20:00	217.689	-3.448	-2.287	-3.04
2016-02-11/00:10:00	2016-02-11/00:20:00	166.353	2.073	0.697	-2.757
2016-02-11/00:40:00	2016-02-11/00:50:00	174.176	2.303	0.325	-3.03
2016-02-11/01:10:00	2016-02-11/01:20:00	168.58	1.473	0.722	-3.585
2016-02-11/01:40:00	2016-02-11/01:50:00	172.28	1.62	0.503	-3.715
2016-02-11/02:25:00	2016-02-11/02:35:00	162.19	0.923	1.397	-4.337
2016-02-11/02:55:00	2016-02-11/03:05:00	165.857	0.75	1.12	-4.447
2016-02-11/03:25:00	2016-02-11/03:35:00	169.735	1.145	0.832	-4.605
2016-02-11/04:55:00	2016-02-11/05:05:00	176.687	1.888	0.283	-4.925
2016-02-11/05:25:00	2016-02-11/05:35:00	183.25	1.962	-0.293	-5.433
2016-02-11/05:55:00	2016-02-11/06:05:00	190.219	2.348	-0.99	-5.537
2016-02-11/06:30:00	2016-02-11/06:40:00	190.521	1.532	-1.152	-6.18
2016-02-11/07:00:00	2016-02-11/07:10:00	202.078	1.233	-2.462	-6.07
2016-02-11/13:50:00	2016-02-11/14:00:00	208.889	2.267	-3.13	-5.678
2016-02-11/14:20:00	2016-02-11/14:30:00	204.125	2.307	-2.697	-6.02
2016-02-11/14:50:00	2016-02-11/15:00:00	219.129	2.588	-3.963	-4.907
2016-02-11/15:20:00	2016-02-11/15:30:00	221.837	2.472	-4.31	-4.82
2016-02-14/05:05:00	2016-02-14/05:15:00	195.863	-6.475	-0.712	-2.535
2016-02-14/05:35:00	2016-02-14/05:45:00	165.186	-5.665	0.558	-2.102
2016-02-17/22:00:00	2016-02-17/22:10:00	157.742	3.568	2.83	-6.688
2016-02-17/22:30:00	2016-02-17/22:40:00	160.798	4.207	2.523	-7.093
2016-02-17/23:15:00	2016-02-17/23:25:00	169.816	2.308	1.238	-6.763
2016-02-18/02:25:00	2016-02-18/02:35:00	219.059	2.092	-3.387	-4.183
2016-02-19/02:15:00	2016-02-19/02:25:00	156.405	3.315	0.805	-1.843
2016-02-19/14:55:00	2016-02-19/15:05:00	217.675	0.722	-2.752	-3.557
