Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2016-12-01/06:35:00	2016-12-01/06:45:00	61.297	2.153
2016-12-01/07:30:00	2016-12-01/07:40:00	73.48	1.643
2016-12-01/08:00:00	2016-12-01/08:10:00	67.728	1.892
2016-12-01/08:30:00	2016-12-01/08:40:00	67.431	1.122
2016-12-01/09:00:00	2016-12-01/09:10:00	72.339	0.415
2016-12-01/09:30:00	2016-12-01/09:40:00	72.36	0.443
2016-12-01/10:00:00	2016-12-01/10:10:00	70.602	-0.015
2016-12-01/10:30:00	2016-12-01/10:40:00	68.632	-0.987
2016-12-01/11:00:00	2016-12-01/11:10:00	60.088	-0.537
2016-12-01/11:30:00	2016-12-01/11:40:00	52.94	0.083
2016-12-01/12:00:00	2016-12-01/12:10:00	47.429	0.828
2016-12-01/12:30:00	2016-12-01/12:40:00	49.626	1.358
2016-12-01/13:40:00	2016-12-01/13:50:00	68.036	1.028
2016-12-01/15:30:00	2016-12-01/15:40:00	46.499	-1.897
2016-12-01/16:00:00	2016-12-01/16:10:00	46.178	-1.637
2016-12-01/16:30:00	2016-12-01/16:40:00	47.039	-2.925
2016-12-02/09:15:00	2016-12-02/09:25:00	115.606	-5.035
2016-12-02/10:15:00	2016-12-02/10:25:00	122.752	-4.067
2016-12-02/10:45:00	2016-12-02/10:55:00	95.657	-2.817
2016-12-02/13:30:00	2016-12-02/13:40:00	124.754	-3.967
2016-12-02/14:00:00	2016-12-02/14:10:00	120.04	-3.335
2016-12-02/16:40:00	2016-12-02/16:50:00	72.372	-3.112
2016-12-02/17:40:00	2016-12-02/17:50:00	112.149	-2.75
2016-12-02/20:05:00	2016-12-02/20:15:00	115.826	-1.268
2016-12-02/20:35:00	2016-12-02/20:45:00	122.043	-1.092
2016-12-03/03:20:00	2016-12-03/03:30:00	125.084	-1.473
2016-12-03/03:50:00	2016-12-03/04:00:00	115.095	-0.777
2016-12-03/04:20:00	2016-12-03/04:30:00	113.463	-0.648
2016-12-03/04:50:00	2016-12-03/05:00:00	117.318	-1.117
2016-12-03/05:20:00	2016-12-03/05:30:00	119.58	-1.402
2016-12-03/07:10:00	2016-12-03/07:20:00	91.175	-0.723
2016-12-03/07:50:00	2016-12-03/08:00:00	107.777	-1.917
2016-12-03/08:20:00	2016-12-03/08:30:00	97.513	-1.395
2016-12-03/08:50:00	2016-12-03/09:00:00	101.901	-1.047
2016-12-03/10:35:00	2016-12-03/10:45:00	84.2	-0.283
2016-12-03/11:05:00	2016-12-03/11:15:00	87.159	0.028
2016-12-03/12:15:00	2016-12-03/12:25:00	109.313	-1.535
