Start_str	End_str	Clang_avg	Bx_avg(nT)
2015-12-08 13:25:00	2015-12-08 13:35:00	72.493	-4.052
2015-12-08 21:15:00	2015-12-08 21:25:00	112.689	-3.528
2015-12-08 22:00:00	2015-12-08 22:10:00	113.944	-2.19
2015-12-08 23:10:00	2015-12-08 23:20:00	89.472	-3.6
2015-12-08 23:50:00	2015-12-09 00:00:00	111.13	-3.373
2015-12-09 00:30:00	2015-12-09 00:40:00	109.654	-0.828
2015-12-09 02:05:00	2015-12-09 02:15:00	100.533	-3.235
2015-12-09 02:40:00	2015-12-09 02:50:00	85.16	-2.622
2015-12-09 03:15:00	2015-12-09 03:25:00	77.847	-2.308
2015-12-09 09:10:00	2015-12-09 09:20:00	45.531	-2.865
2015-12-09 10:05:00	2015-12-09 10:15:00	49.921	-3.337
2015-12-09 12:00:00	2015-12-09 12:10:00	113.027	-3.333
2015-12-09 12:45:00	2015-12-09 12:55:00	78.787	-2.962
2015-12-09 23:10:00	2015-12-09 23:20:00	84.122	-2.755
2015-12-09 23:40:00	2015-12-09 23:50:00	107.909	-3.52
2015-12-10 00:10:00	2015-12-10 00:20:00	126.739	-3.31
2015-12-10 02:25:00	2015-12-10 02:35:00	133.522	-3.747
2015-12-10 21:25:00	2015-12-10 21:35:00	84.353	-0.267
2015-12-10 23:00:00	2015-12-10 23:10:00	100.722	-1.532
2015-12-12 10:50:00	2015-12-12 11:00:00	79.772	-3.317
2015-12-13 00:50:00	2015-12-13 01:00:00	110.738	-2.06
2015-12-13 01:20:00	2015-12-13 01:30:00	111.963	-1.958
2015-12-13 13:00:00	2015-12-13 13:10:00	116.181	-3.442
2015-12-13 13:30:00	2015-12-13 13:40:00	110.032	-3.247
2015-12-13 23:05:00	2015-12-13 23:15:00	82.785	-2.985
2015-12-13 23:50:00	2015-12-14 00:00:00	101.553	-1.405
2015-12-14 01:25:00	2015-12-14 01:35:00	109.869	-2.845
2015-12-14 02:15:00	2015-12-14 02:25:00	112.549	-2.79
2015-12-14 02:45:00	2015-12-14 02:55:00	116.099	-2.948
2015-12-14 03:15:00	2015-12-14 03:25:00	119.354	-2.428
2015-12-14 03:45:00	2015-12-14 03:55:00	82.948	-3.068
2015-12-14 05:05:00	2015-12-14 05:15:00	87.985	-2.982
2015-12-14 05:35:00	2015-12-14 05:45:00	86.834	-3.005
2015-12-14 09:40:00	2015-12-14 09:50:00	110.909	-2.39
2015-12-28 22:45:00	2015-12-28 22:55:00	113.505	-3.242
2015-12-29 07:10:00	2015-12-29 07:20:00	80.831	-4.127
2015-12-29 07:40:00	2015-12-29 07:50:00	86.942	-4.21
2015-12-29 08:55:00	2015-12-29 09:05:00	82.299	-4.438
2015-12-29 20:15:00	2015-12-29 20:25:00	117.207	-2.985
2015-12-29 23:05:00	2015-12-29 23:15:00	99.441	-3.09
2015-12-29 23:35:00	2015-12-29 23:45:00	87.03	-3.683
2015-12-30 00:05:00	2015-12-30 00:15:00	83.486	-4.095
2015-12-30 01:45:00	2015-12-30 01:55:00	52.171	-4.03
2015-12-30 02:25:00	2015-12-30 02:35:00	78.173	-3.8
2015-12-30 05:30:00	2015-12-30 05:40:00	62.709	-1.18
2015-12-30 06:00:00	2015-12-30 06:10:00	72.476	-2.062
2015-12-30 06:30:00	2015-12-30 06:40:00	76.99	-2.907
2015-12-30 07:00:00	2015-12-30 07:10:00	74.441	-0.382
2015-12-30 07:30:00	2015-12-30 07:40:00	73.77	-1.383
2015-12-30 08:40:00	2015-12-30 08:50:00	51.068	-0.592
2015-12-30 09:10:00	2015-12-30 09:20:00	48.725	-0.398
2015-12-30 18:50:00	2015-12-30 19:00:00	86.775	-2.065
2015-12-30 19:25:00	2015-12-30 19:35:00	84.932	-3.365
2015-12-30 20:30:00	2015-12-30 20:40:00	97.248	-3.312
2015-12-30 21:00:00	2015-12-30 21:10:00	90.063	-4.463
2015-12-30 21:30:00	2015-12-30 21:40:00	102.564	-3.863
2015-12-30 22:00:00	2015-12-30 22:10:00	97.249	-2.078
2015-12-30 22:30:00	2015-12-30 22:40:00	99.956	-1.472
2015-12-30 23:30:00	2015-12-30 23:40:00	80.957	-2.33
2015-12-31 00:20:00	2015-12-31 00:30:00	95.42	-3.017
2015-12-31 03:05:00	2015-12-31 03:15:00	107.647	-2.025
2015-12-31 03:35:00	2015-12-31 03:45:00	112.352	-0.383
2015-12-31 09:55:00	2015-12-31 10:05:00	89.101	-2.03
