Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2020-05-01/16:15:00	2020-05-01/16:25:00	62.503	3.558
2020-05-01/16:55:00	2020-05-01/17:05:00	71.791	2.925
2020-05-01/17:25:00	2020-05-01/17:35:00	79.029	2.792
2020-05-01/17:55:00	2020-05-01/18:05:00	69.197	2.417
2020-05-01/18:25:00	2020-05-01/18:35:00	51.617	2.218
2020-05-08/09:35:00	2020-05-08/09:45:00	85.171	0.242
2020-05-08/11:15:00	2020-05-08/11:25:00	97.766	0.333
2020-05-08/15:45:00	2020-05-08/15:55:00	47.361	-0.415
2020-05-08/16:15:00	2020-05-08/16:25:00	48.824	-1.047
2020-05-08/16:45:00	2020-05-08/16:55:00	58.297	-1.473
2020-05-08/18:10:00	2020-05-08/18:20:00	66.0	-1.57
2020-05-09/00:20:00	2020-05-09/00:30:00	115.901	-3.213
2020-05-09/00:50:00	2020-05-09/01:00:00	115.162	-3.257
2020-05-09/07:35:00	2020-05-09/07:45:00	64.293	-1.217
2020-05-09/09:50:00	2020-05-09/10:00:00	60.645	-1.453
2020-05-09/10:20:00	2020-05-09/10:30:00	68.096	-1.038
2020-05-09/10:50:00	2020-05-09/11:00:00	73.914	-0.983
2020-05-09/11:20:00	2020-05-09/11:30:00	88.613	-0.295
2020-05-09/12:20:00	2020-05-09/12:30:00	78.62	-0.092
2020-05-09/12:50:00	2020-05-09/13:00:00	76.611	0.642
2020-05-09/13:30:00	2020-05-09/13:40:00	62.95	0.937
2020-05-09/14:00:00	2020-05-09/14:10:00	50.954	1.788
2020-05-09/14:30:00	2020-05-09/14:40:00	68.212	1.05
2020-05-09/15:00:00	2020-05-09/15:10:00	58.152	0.457
2020-05-09/15:45:00	2020-05-09/15:55:00	68.096	-1.393
2020-05-09/16:55:00	2020-05-09/17:05:00	87.08	-0.053
2020-05-09/17:25:00	2020-05-09/17:35:00	69.711	-0.147
2020-05-09/17:55:00	2020-05-09/18:05:00	73.086	-0.71
2020-05-09/18:25:00	2020-05-09/18:35:00	62.733	-2.152
2020-05-09/18:55:00	2020-05-09/19:05:00	63.671	-1.77
2020-05-09/19:25:00	2020-05-09/19:35:00	75.136	-1.867
2020-05-09/19:55:00	2020-05-09/20:05:00	62.364	-2.043
2020-05-09/21:00:00	2020-05-09/21:10:00	53.917	-0.255
2020-05-09/21:35:00	2020-05-09/21:45:00	61.92	0.443
2020-05-09/22:15:00	2020-05-09/22:25:00	61.889	1.228
2020-05-09/22:45:00	2020-05-09/22:55:00	62.089	1.618
2020-05-10/00:35:00	2020-05-10/00:45:00	64.052	-1.66
2020-05-10/01:35:00	2020-05-10/01:45:00	49.798	-3.488
2020-05-10/02:05:00	2020-05-10/02:15:00	52.969	-3.463
2020-05-13/11:55:00	2020-05-13/12:05:00	50.097	0.15
2020-05-15/17:20:00	2020-05-15/17:30:00	58.308	-3.105
2020-05-15/20:10:00	2020-05-15/20:20:00	55.888	-1.588
2020-05-16/07:15:00	2020-05-16/07:25:00	120.68	-1.053
2020-05-16/08:25:00	2020-05-16/08:35:00	97.215	-1.032
2020-05-16/09:50:00	2020-05-16/10:00:00	69.668	-2.517
2020-05-16/10:20:00	2020-05-16/10:30:00	114.185	-2.182
2020-05-16/10:50:00	2020-05-16/11:00:00	108.872	-2.28
2020-05-16/14:10:00	2020-05-16/14:20:00	90.284	-2.468
2020-05-16/16:10:00	2020-05-16/16:20:00	92.098	-2.485
2020-05-16/16:45:00	2020-05-16/16:55:00	97.515	-2.107
2020-05-16/18:00:00	2020-05-16/18:10:00	83.187	-0.983
2020-05-16/20:05:00	2020-05-16/20:15:00	61.933	-1.69
2020-05-16/22:10:00	2020-05-16/22:20:00	77.466	-2.373
2020-05-16/23:55:00	2020-05-17/00:05:00	60.224	-0.25
2020-05-17/00:25:00	2020-05-17/00:35:00	75.519	-0.982
2020-05-17/00:55:00	2020-05-17/01:05:00	71.16	-1.317
2020-05-17/01:25:00	2020-05-17/01:35:00	54.752	-1.183
2020-05-20/10:00:00	2020-05-20/10:10:00	71.779	3.62
2020-05-20/10:50:00	2020-05-20/11:00:00	93.261	3.42
2020-05-20/11:40:00	2020-05-20/11:50:00	98.364	3.742
2020-05-20/12:10:00	2020-05-20/12:20:00	96.104	3.665
2020-05-20/12:40:00	2020-05-20/12:50:00	102.123	3.603
2020-05-22/06:15:00	2020-05-22/06:25:00	131.52	-4.082
2020-05-22/06:50:00	2020-05-22/07:00:00	94.105	-4.137
2020-05-26/01:20:00	2020-05-26/01:30:00	47.071	-0.602
2020-05-26/01:50:00	2020-05-26/02:00:00	53.638	-1.007
2020-05-29/09:55:00	2020-05-29/10:05:00	63.29	-0.945
2020-05-29/11:35:00	2020-05-29/11:45:00	88.629	-3.065
2020-05-29/12:15:00	2020-05-29/12:25:00	103.397	-2.933
2020-05-29/15:25:00	2020-05-29/15:35:00	90.998	-1.477
2020-05-29/17:55:00	2020-05-29/18:05:00	93.917	-1.547
2020-05-29/18:25:00	2020-05-29/18:35:00	82.145	-1.633
2020-05-29/19:00:00	2020-05-29/19:10:00	91.674	-1.39
2020-05-29/20:40:00	2020-05-29/20:50:00	82.778	-0.725
